survey_response_id,user_id,item_id,area_code,area_name,service_category_code,service_category_name,match_score,reasons,label
sr_sample_005,persona_family_residential_korean,11110515:CS100005,11110515,청운효자동,CS100005,제과점,2.238169,budget_fit|residential_bias|stability_signal_match,1
sr_sample_005,persona_family_residential_korean,11110515:CS100007,11110515,청운효자동,CS100007,치킨전문점,2.135285,budget_fit|residential_bias|stability_signal_match,1
sr_sample_005,persona_family_residential_korean,11110515:CS100004,11110515,청운효자동,CS100004,양식음식점,1.258419,budget_fit|residential_bias|stability_signal_match|rent_budget_pressure,0
sr_sample_005,persona_family_residential_korean,11110515:CS100003,11110515,청운효자동,CS100003,일식음식점,-2.943303,avoid_category_violation|budget_fit|residential_bias|stability_signal_match,0
sr_sample_006,persona_station_lunch_japanese,11110515:CS100001,11110515,청운효자동,CS100001,한식음식점,5.906932,preferred_category_match|budget_fit|subway_dependency_match|balanced_signal_match|lunch_operation_match,1
sr_sample_006,persona_station_lunch_japanese,11110515:CS100003,11110515,청운효자동,CS100003,일식음식점,5.795641,preferred_category_match|budget_fit|subway_dependency_match|balanced_signal_match|lunch_operation_match,1
sr_sample_006,persona_station_lunch_japanese,11110515:CS100004,11110515,청운효자동,CS100004,양식음식점,3.203309,budget_fit|subway_dependency_match|balanced_signal_match|lunch_operation_match,1
sr_sample_006,persona_station_lunch_japanese,11110515:CS100007,11110515,청운효자동,CS100007,치킨전문점,2.876175,budget_fit|subway_dependency_match|balanced_signal_match|lunch_operation_match,0
sr_sample_006,persona_station_lunch_japanese,11110515:CS100005,11110515,청운효자동,CS100005,제과점,-1.942361,avoid_category_violation|budget_fit|subway_dependency_match|balanced_signal_match|lunch_operation_match,0
sr_sample_007,persona_small_safe_food,11110515:CS100005,11110515,청운효자동,CS100005,제과점,4.189724,preferred_category_match|budget_fit|residential_bias|stability_signal_match|lunch_operation_match|rent_budget_pressure,1
sr_sample_007,persona_small_safe_food,11110515:CS100001,11110515,청운효자동,CS100001,한식음식점,0.937857,preferred_category_match|budget_over|residential_bias|stability_signal_match|lunch_operation_match|rent_budget_pressure,0
sr_sample_007,persona_small_safe_food,11110515:CS100007,11110515,청운효자동,CS100007,치킨전문점,-2.513161,budget_over|residential_bias|stability_signal_match|lunch_operation_match|rent_budget_pressure,0
sr_sample_007,persona_small_safe_food,11110515:CS100003,11110515,청운효자동,CS100003,일식음식점,-2.591748,budget_over|residential_bias|stability_signal_match|lunch_operation_match|rent_budget_pressure,0
sr_sample_007,persona_small_safe_food,11110515:CS100004,11110515,청운효자동,CS100004,양식음식점,-7.090027,avoid_category_violation|budget_over|residential_bias|stability_signal_match|lunch_operation_match|rent_budget_pressure,0
sr_sample_008,persona_mixed_visitor_dessert,11110515:CS100005,11110515,청운효자동,CS100005,제과점,6.675453,preferred_category_match|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,1
sr_sample_008,persona_mixed_visitor_dessert,11110515:CS100004,11110515,청운효자동,CS100004,양식음식점,3.394473,preferred_category_match|budget_over|subway_dependency_match|growth_signal_match|evening_operation_match,0
sr_sample_008,persona_mixed_visitor_dessert,11110515:CS100001,11110515,청운효자동,CS100001,한식음식점,-0.159122,budget_over|subway_dependency_match|growth_signal_match|evening_operation_match,0
sr_sample_008,persona_mixed_visitor_dessert,11110515:CS100003,11110515,청운효자동,CS100003,일식음식점,-0.40933,budget_over|subway_dependency_match|growth_signal_match|evening_operation_match,0
sr_sample_008,persona_mixed_visitor_dessert,11110515:CS100007,11110515,청운효자동,CS100007,치킨전문점,-4.643589,avoid_category_violation|budget_over|subway_dependency_match|growth_signal_match|evening_operation_match,0
sr_sample_009,persona_balanced_general_food,11110515:CS100004,11110515,청운효자동,CS100004,양식음식점,4.981971,preferred_category_match|budget_fit|balanced_signal_match,1
sr_sample_009,persona_balanced_general_food,11110515:CS100005,11110515,청운효자동,CS100005,제과점,4.938443,preferred_category_match|budget_fit|balanced_signal_match,1
sr_sample_009,persona_balanced_general_food,11110515:CS100001,11110515,청운효자동,CS100001,한식음식점,4.860989,preferred_category_match|budget_fit|balanced_signal_match,1
sr_sample_009,persona_balanced_general_food,11110515:CS100003,11110515,청운효자동,CS100003,일식음식점,4.841364,preferred_category_match|budget_fit|balanced_signal_match,0
sr_sample_009,persona_balanced_general_food,11110515:CS100007,11110515,청운효자동,CS100007,치킨전문점,1.879246,budget_fit|balanced_signal_match,0
sr_sample_010,persona_aggressive_station_food,11110515:CS100004,11110515,청운효자동,CS100004,양식음식점,6.994473,preferred_category_match|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,1
sr_sample_010,persona_aggressive_station_food,11110515:CS100007,11110515,청운효자동,CS100007,치킨전문점,6.956411,preferred_category_match|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,1
sr_sample_010,persona_aggressive_station_food,11110515:CS100001,11110515,청운효자동,CS100001,한식음식점,6.440878,preferred_category_match|budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,1
sr_sample_010,persona_aggressive_station_food,11110515:CS100005,11110515,청운효자동,CS100005,제과점,3.675453,budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,0
sr_sample_010,persona_aggressive_station_food,11110515:CS100003,11110515,청운효자동,CS100003,일식음식점,3.19067,budget_fit|subway_dependency_match|growth_signal_match|evening_operation_match,0
